id,User Name,User ID,Follows,Followers,User Location,content,time
1145481709707657216,ああああ,CAJjJjXCqzytM2F,296,17,エリザベス岬,"RT @ankorocinema: 安城コロナワールド
わくわくメイカーさん
Ⅳ号戦車
トランスフォーム https://t.co/DsdcYhUwnZ",Sun Jun 30 23:58:16 +0000 2019
1145480899884019712,マリオメーカーbot,mariomakerbot,333,2030,1-4,"RT @Tonyia_R: 技師さんの再現コース3つ目も出ました！
ID:R68-QFF-61G

ことごとくマリオサンシャイン コロナマウンテン【スーパーマリオメーカー2】 https://t.co/TV941R9Rfr #sm35339428 #ニコニコ動画 #スーパーマリ…",Sun Jun 30 23:55:03 +0000 2019
1145480650666889216,恵里（バイニャンズ・meVSmyselfの人）,eriiphone,663,876,"yokohama,kanagawa,japan",@ken729 2枚買うか迷ったよーそしてMTV着てみて良かったら買うかもwwフジケン黄色似合うからコロナ良いね！,Sun Jun 30 23:54:03 +0000 2019
1145480416490426368,よしぞうmaro',yosizo,1954,12183,Sol Levante,"RT @ankorocinema: 安城コロナワールド
わくわくメイカーさん
Ⅳ号戦車
トランスフォーム https://t.co/DsdcYhUwnZ",Sun Jun 30 23:53:07 +0000 2019
1145480235061657600,わつき,FGO42585322,3156,2478,日本,"RT @hgWvkisQBWiwFJS: 安城遠征から日照戦車スタッフ一同無事に帰宅しました。
初の愛知県イベント展示で安城コロナ様、会場にお越しの皆様に、日照戦車を代表して感謝申し上げます。
次回が有りましたら是非❗️
＃日照戦車
＃あんころ祭
#プラ1",Sun Jun 30 23:52:24 +0000 2019
1145480227520307200,太陽マヂックbot,taiyoumagic_bot,5,4,8.3光分むこう,コロナは百十四万十九,Sun Jun 30 23:52:22 +0000 2019
1145480093407408128,ロボット勇者トニア＠真起動したVTuber,Tonyia_R,995,1046,ブデスス村,"技師さんの再現コース3つ目も出ました！
ID:R68-QFF-61G

ことごとくマリオサンシャイン コロナマウンテン【スーパーマリオメーカー2】 https://t.co/TV941R9Rfr #sm35339428 #ニコニコ動画 #スーパーマリオメーカー2",Sun Jun 30 23:51:50 +0000 2019
1145479626535264256,よしぞうmaro',yosizo,1954,12183,Sol Levante,"RT @ankorocinema: 発砲！
#わくわくメイカー Ⅳ号戦車
安城コロナワールド https://t.co/vMB2GvrtGb",Sun Jun 30 23:49:59 +0000 2019
1145479575914217472,浜☆劇あつし (横須賀あつし停止中),atushi6926,1857,1093,横須賀鎮守府,"RT @pyonpyon_chang: 安城コロナ、めっちゃ楽しかった♬

みんな良い人ばかりだったので、体力消耗激しいイナバウアーも出しちゃいました💓 https://t.co/OFsnaQk14r",Sun Jun 30 23:49:47 +0000 2019
1145479234522976256,月影ひびき(新宿・麻布十番),byAffection,999,1806,東京,"RT @naoj_taiyo: 7月3日の皆既日食に関するGIZMODOの記事を見つけましたので紹介します。弊プロジェクトの観測隊にも言及しています。

来月、南太平洋や南米で観測される皆既日食。アンデスの天文台では、コロナや磁場、電離圏に対する影響なんかを調べるみたい htt…",Sun Jun 30 23:48:26 +0000 2019
