id,User Name,User ID,Follows,Followers,User Location,content,time
1145482129196769280,あまさわ,amaguisawaqui,401,178,シュテルン関東の浜辺,"RT @mihyonsong: このままでは、日本はHPVワクチンを打たないと子宮頸がんが減らせないことを世界に証明する国になってしまうでしょうね。
中1〜高1の女子は定期接種で無料で打てます。

BBCニュース - 子宮頸がんワクチン、14カ国の調査で効果明らかに　撲滅の可能…",Sun Jun 30 23:59:56 +0000 2019
1145481853488381952,nagakawa,nagakawas1,103,63,,"RT @mihyonsong: このままでは、日本はHPVワクチンを打たないと子宮頸がんが減らせないことを世界に証明する国になってしまうでしょうね。
中1〜高1の女子は定期接種で無料で打てます。

BBCニュース - 子宮頸がんワクチン、14カ国の調査で効果明らかに　撲滅の可能…",Sun Jun 30 23:58:50 +0000 2019
1145481651016744961,Nahoqi,Nahoqi,1752,332,千葉 松戸市,RT @NATROM: 「細胞診正常の女性中のハイリスク型HPVの感染割合がきわめて低い！」ってデータは、「やっぱHPVこえーわー。ワクチン必要だわ―」という主張を強めることはあれ、「ワクチン不要」という主張には使えない。,Sun Jun 30 23:58:02 +0000 2019
1145481615855910912,みや386,J6GHpPzWvpYvUPL,177,134,日本 北海道,"RT @korimaru0206: カギ垢様より)
2019年4月24日厚労省ワクチン副反応検討部会の資料
12-1、3ページ
良く見てみたら、3493例の報告のうち
『3306人は死亡症例又は重篤症例と判断されたものはない！』
とある。
専門家の目と脳はどうなってるのか？
歩…",Sun Jun 30 23:57:53 +0000 2019
1145481600043384833,Nahoqi,Nahoqi,1752,332,千葉 松戸市,RT @NATROM: はたともこ氏によるHPVワクチン反対論のうちの一つ、「日本人女性のハイリスク型HPV（16/18型）の感染確率は0.7％と低い。だからHPVワクチンは効果が薄い」とする論法は明確に誤りである。,Sun Jun 30 23:57:50 +0000 2019
1145481543172759553,タマ,QuOz45,1669,142,,"RT @narumita: 「中国人が日本でワクチンを大量接種する訳 日本人の医療知識は世界で周回遅れ」
PRESIDENT Online - プレジデント https://t.co/aLOohscMbv @Pre_Online",Sun Jun 30 23:57:36 +0000 2019
1145481536621277184,Miyabi＠艦これやってます。,Miyabi002,2397,1377,ウィス・エト@条約,"RT @cxp02120: 事故以来、放射線の恐怖を煽ってきた感のある朝日系メディアがこの記事を載せたことが「事件」なのだが、案の定そっち界隈は「朝日は腐った」「原子力ムラからいくら貰った」と、その“裏切り”を罵倒し、自ら世界を狭めている。反ワクチンと一緒。
https://t…",Sun Jun 30 23:57:35 +0000 2019
1145481387782238208,芍薬🌹,aznayuko,4231,4756,東京,"RT @sakura_nyanko1: 追記

皆様に誤解を招く投稿内容でしたので、現在分かっている事(事実)のみを載せておきます⬇︎

チビとクロは、山口県周南市緑地公園生まれの野犬
狂犬病ワクチン未接種

静岡県在住里親:O氏が捕獲依頼

睡眠薬入餌使用捕獲実行は、静岡県東…",Sun Jun 30 23:56:59 +0000 2019
1145481334363545602,ちけを,ponchai_owatana,364,185,,"RT @mihyonsong: このままでは、日本はHPVワクチンを打たないと子宮頸がんが減らせないことを世界に証明する国になってしまうでしょうね。
中1〜高1の女子は定期接種で無料で打てます。

BBCニュース - 子宮頸がんワクチン、14カ国の調査で効果明らかに　撲滅の可能…",Sun Jun 30 23:56:46 +0000 2019
1145481257213497345,TreacherousCretin,hobocadaver,266,25,,RT @rei10830349: 「イキる」「中二病」みたいな概念が開発され、もうオタクはインターネットで調子にのれなくなったと思いきや、今度は「イキッてないことをイキる」「イキりオタクを叩いてイキる」「素直に自慢する」みたいなタイプが大量出現したの、ワクチンを作っても新種を開…,Sun Jun 30 23:56:28 +0000 2019
1145481227123580929,淀橋遠道,yodobasiend,144,259,,RT @teiseiinfo: “「ワクチンで自閉症に」など誤情報拡散 国連で対策を議論 | NHKニュース” https://t.co/SS71vOS91o #医療 #情報,Sun Jun 30 23:56:21 +0000 2019
1145481172899598336,クロ,kuro_pecos,629,284,関東,"RT @jishin_dema: ""「ワクチンで自閉症に」など誤情報拡散 国連で対策を議論 | NHKニュース"" https://t.co/NLTejnHS2p",Sun Jun 30 23:56:08 +0000 2019
1145481166419398657,はれ@ff14,hnb411,333,151,,"RT @cxp02120: 事故以来、放射線の恐怖を煽ってきた感のある朝日系メディアがこの記事を載せたことが「事件」なのだが、案の定そっち界隈は「朝日は腐った」「原子力ムラからいくら貰った」と、その“裏切り”を罵倒し、自ら世界を狭めている。反ワクチンと一緒。
https://t…",Sun Jun 30 23:56:06 +0000 2019
1145481094340288512,Kaera.KawaP 9価HPVワクチン シルガード9 承認！副作用・被害者の件、固定TW参照,PWRofCommunity,235,484,伴走役GID専門部会 可聴域周波数低電圧制御係 他 伴奏部,"そういう公衆衛生の意識が欠如しているところに

いわゆる『ワクチン不要論』なるものが入り込んだら

そりゃあ そっちに流れる（あ、そんなもんなのか、、、と誤解する）人も出てくるのは想像に難く無い。 https://t.co/FvnHhlo3vw",Sun Jun 30 23:55:49 +0000 2019
1145480993022676992,KANTELETAL,KANTELETAL,437,227,日本のどこか,RT @y_psychologist: 反ワクチンにしろ発達障害ビジネスにしろ、厚生労働省がビシッと取り締まってくれれば、あるいは「ワクチン全て定期接種！HPVワクチンも接種推奨！」「発達障害の栄養療法、エビデンスなし！」と大声で言ってくれれば、現場の人間が嫌がらせを受けつつツ…,Sun Jun 30 23:55:25 +0000 2019
1145480969475874817,また馬体重の話してる🥒(司),tsukasa_hell,354,477,シュテルンビルトLS、地獄一丁目１－４,"RT @elevenplat: 妻がお乳のマッサージのため明石の助産院に通っているのだが、そこの女医から会員限定の薬を勧められ、ネットワークビジネスの勧誘を受けた。そして予防接種を受けると言ったら、この本を渡されワクチンは受けるなという。
内海聡のサイン入りだった。
反ワクチン…",Sun Jun 30 23:55:19 +0000 2019
1145480964820180992,じゅん@LowTechLab|c99申込中,jun_84,201,718,本拠地は茨城県石岡市,"RT @jishin_dema: ""「ワクチンで自閉症に」など誤情報拡散 国連で対策を議論 | NHKニュース"" https://t.co/NLTejnHS2p",Sun Jun 30 23:55:18 +0000 2019
1145480920666791936,SEABAT,seabat707,97,906,愛知県西三河南部地域,"RT @jasminjoy: 市区町村から送られてくる風疹抗体価の無料検査、8倍以下なら無料でワクチンを受けられます。16倍でも自費で受けることをお勧めします。＞
流行中の今こそ読んでほしい！先天性風疹症候群に娘を奪われた母親の後悔 https://t.co/uW8oK4YxY…",Sun Jun 30 23:55:08 +0000 2019
1145480918246625281,服部 流右衛門 幸紀,Lyuwemon,39,51,日本 大阪,子宮頸がんワクチン、14カ国の調査で効果明らかに　撲滅の可能性も https://t.co/06XQAoTFjk,Sun Jun 30 23:55:07 +0000 2019
1145480657453236224,凱,nogizuki229,169,112,日本,RT @takapon_jp: 子宮頸がんワクチン、14カ国の調査で効果明らかに　撲滅の可能性も https://t.co/L9FHdH7JhJ,Sun Jun 30 23:54:05 +0000 2019
1145480617104068608,Kaera.KawaP 9価HPVワクチン シルガード9 承認！副作用・被害者の件、固定TW参照,PWRofCommunity,235,484,伴走役GID専門部会 可聴域周波数低電圧制御係 他 伴奏部,"これは風疹に限った話でも無く…

日本ではワクチンの必要性（公衆衛生）の概念自体が欠如している感がある、、、 https://t.co/HKH8nI5cjY",Sun Jun 30 23:53:55 +0000 2019
1145480440771305472,うちの宿六🛌,com_aid,132,188,,"RT @jishin_dema: ""「ワクチンで自閉症に」など誤情報拡散 国連で対策を議論 | NHKニュース"" https://t.co/NLTejnHS2p",Sun Jun 30 23:53:13 +0000 2019
1145480405887246336,ﾖﾝｽｹ,yonsuke4,3614,318,播磨国,"RT @cxp02120: 事故以来、放射線の恐怖を煽ってきた感のある朝日系メディアがこの記事を載せたことが「事件」なのだが、案の定そっち界隈は「朝日は腐った」「原子力ムラからいくら貰った」と、その“裏切り”を罵倒し、自ら世界を狭めている。反ワクチンと一緒。
https://t…",Sun Jun 30 23:53:05 +0000 2019
